WavelengthA	Transmission
3840	0.6445610012
3853	0.6460524704
3865	0.6475293775
3878	0.64899096
3891	0.650437667
3904	0.6518690035
3916	0.6532852915
3929	0.6546861635
3942	0.6560719506
3955	0.6574425638
3967	0.6587977854
3980	0.6601378079
3993	0.661462689
4005	0.6627673112
4018	0.664049951
4031	0.6653171721
4044	0.6665690421
4056	0.6678060497
4069	0.6690276861
4082	0.6702338952
4095	0.6714252972
4107	0.6726015431
4120	0.6737624279
4133	0.6749085807
4145	0.6760396611
4158	0.6771555986
4171	0.6782568974
4184	0.6793433497
4196	0.6804149005
4209	0.6814719091
4222	0.6825140283
4234	0.6835417822
4247	0.6845548187
4260	0.6855536506
4273	0.6865378096
4285	0.6875080845
4298	0.6884641425
4311	0.6894057944
4324	0.6903332634
4336	0.6912470853
4349	0.69214707
4362	0.6930330206
4374	0.6939051797
4387	0.6947642257
4400	0.6956093883
4413	0.6964412108
4425	0.6972596473
4438	0.6980649475
4451	0.698857062
4464	0.6996359676
4476	0.7004020454
4489	0.7011551277
4502	0.7018948961
4514	0.7026159058
4527	0.7033240871
4540	0.7040201281
4553	0.7047038546
4565	0.7053753822
4578	0.7060346823
4591	0.706682306
4604	0.7073176382
4616	0.7079415277
4629	0.708553948
4642	0.7091545842
4654	0.7097439829
4667	0.7103218327
4680	0.710888415
4693	0.7114442708
4705	0.7119888065
4718	0.7125227222
4731	0.7130452613
4743	0.7135578797
4756	0.7140595257
4769	0.714550617
4782	0.7150318709
4794	0.7155026835
4807	0.7159631721
4820	0.7164139194
4833	0.7168544542
4845	0.7172853707
4858	0.717706334
4871	0.7181182212
4883	0.7185202924
4896	0.7189131024
4909	0.7192964995
4922	0.7196710565
4934	0.7200363273
4947	0.7203925824
4960	0.7207404097
4973	0.7210789073
4985	0.7214089376
4998	0.7217306551
5011	0.722040832
5023	0.7223420825
5036	0.7226351269
5049	0.7229200996
5062	0.7231972977
5074	0.7234662572
5087	0.7237274117
5100	0.7239812082
5113	0.7242270325
5125	0.7244654834
5138	0.724696386
5151	0.7249200607
5163	0.7251364664
5176	0.7253457674
5189	0.7255479427
5202	0.7257432981
5214	0.725931365
5227	0.7261131907
5240	0.7262880224
5252	0.7264562938
5265	0.7266181568
5278	0.7267735988
5291	0.7269229261
5303	0.7270653665
5316	0.7272019876
5329	0.7273327603
5342	0.7274572491
5354	0.7275758822
5367	0.7276883632
5380	0.7277955878
5392	0.7278971066
5405	0.7279926095
5418	0.7280828413
5431	0.7281679554
5443	0.7282474896
5456	0.7283214433
5469	0.7283904204
5482	0.7284544073
5494	0.7285132596
5507	0.7285656446
5520	0.7286124596
5532	0.7286542795
5545	0.7286912504
5558	0.7287236666
5571	0.7287512238
5583	0.7287745264
5596	0.7287934277
5609	0.7288079151
5622	0.7288176884
5634	0.7288234974
5647	0.7288250384
5660	0.7288226073
5672	0.7288156154
5685	0.7288049507
5698	0.7287904688
5711	0.7287716989
5723	0.7287495695
5736	0.7287234556
5749	0.7286933675
5761	0.7286600498
5774	0.7286227536
5787	0.728582072
5800	0.7285380126
5812	0.7284905719
5825	0.7284396008
5838	0.728385399
5851	0.7283279486
5863	0.7282669724
5876	0.72820306
5889	0.7281363588
5901	0.7280659708
5914	0.7279930954
5927	0.7279172785
5940	0.7278383782
5952	0.7277566835
5965	0.7276720527
5978	0.7275846299
5991	0.7274948678
6003	0.7274020183
6016	0.7273053505
6029	0.727205898
6041	0.7271045407
6054	0.7270005487
6067	0.726893912
6080	0.726784934
6092	0.7266739088
6105	0.7265600947
6118	0.7264442337
6131	0.7263264819
6143	0.7262060807
