WavelengthA	PBM2Y	               PBM8Y	              PBM18Y	
3500	          -0,5887987	          -0,5043492	          -0,5103385	
3565	          -0,5414854	          -0,4650394	          -0,4706710	
3630	          -0,4997478	          -0,4302204	          -0,4355129	
3695	          -0,4627098	          -0,3992063	          -0,4041798	
3760	          -0,4296662	          -0,3714421	          -0,3761171	
3825	          -0,4000442	          -0,3464741	          -0,3508709	
3890	          -0,3733732	          -0,3239280	          -0,3280661	
3955	          -0,3492636	          -0,3034923	          -0,3073899	
4020	          -0,3273900	          -0,2849055	          -0,2885800	
4085	          -0,3074787	          -0,2679470	          -0,2714142	
4150	          -0,2892977	          -0,2524288	          -0,2557036	
4215	          -0,2726494	          -0,2381904	          -0,2412864	
4280	          -0,2573643	          -0,2250933	          -0,2280231	
4345	          -0,2432963	          -0,2130181	          -0,2157932	
4410	          -0,2303188	          -0,2018606	          -0,2044917	
4475	          -0,2183215	          -0,1915300	          -0,1940270	
4540	          -0,2072082	          -0,1819469	          -0,1843187	
4605	          -0,1968942	          -0,1730410	          -0,1752959	
4670	          -0,1873051	          -0,1647505	          -0,1668962	
4735	          -0,1783750	          -0,1570205	          -0,1590639	
4800	          -0,1700453	          -0,1498021	          -0,1517498	
4865	          -0,1622640	          -0,1430518	          -0,1449097	
4930	          -0,1549847	          -0,1367307	          -0,1385043	
4995	          -0,1481657	          -0,1308037	          -0,1324981	
5060	          -0,1417697	          -0,1252394	          -0,1268594	
5125	          -0,1357631	          -0,1200095	          -0,1215594	
5190	          -0,1301156	          -0,1150883	          -0,1165722	
5255	          -0,1247998	          -0,1104526	          -0,1118742	
5320	          -0,1197908	          -0,1060814	          -0,1074443	
5385	          -0,1150660	          -0,1019555	          -0,1032629	
5450	          -0,1106051	          -0,0980575	          -0,0993123	
5515	          -0,1063893	          -0,0943714	          -0,0955766	
5580	          -0,1024014	          -0,0908826	          -0,0920408	
5645	          -0,0986260	          -0,0875779	          -0,0886915	
5710	          -0,0950486	          -0,0844451	          -0,0855164	
5775	          -0,0916562	          -0,0814727	          -0,0825039	
5840	          -0,0884367	          -0,0786506	          -0,0796436	
5905	          -0,0853790	          -0,0759692	          -0,0769260	
5970	          -0,0824729	          -0,0734197	          -0,0743420	
6035	          -0,0797089	          -0,0709940	          -0,0718834	
6100	          -0,0770784	          -0,0686845	          -0,0695426	
6165	          -0,0745731	          -0,0664843	          -0,0673126	
6230	          -0,0721858	          -0,0643871	          -0,0651869	
6295	          -0,0699094	          -0,0623867	          -0,0631593	
6360	          -0,0677374	          -0,0604776	          -0,0612243	
6425	          -0,0656640	          -0,0586546	          -0,0593765	
6490	          -0,0636836	          -0,0569131	          -0,0576112	
6555	          -0,0617909	          -0,0552483	          -0,0559237	
6620	          -0,0599812	          -0,0536562	          -0,0543099	
