WavelengthA	F2
3500	-0.5608923077
3565	-0.5172923077
3630	-0.4786153846
3695	-0.4440769231
3760	-0.4131384615
3825	-0.3852769231
3890	-0.3601230769
3955	-0.3372923077
4020	-0.3165384615
4085	-0.2975846154
4150	-0.2802615385
4215	-0.2643538462
4280	-0.2497230769
4345	-0.2362461538
4410	-0.2238
4475	-0.2122461538
4540	-0.2015692308
4605	-0.1916461538
4670	-0.1823846154
4735	-0.1737846154
4800	-0.1657384615
4865	-0.1582153846
4930	-0.1511846154
4995	-0.1445846154
5060	-0.1383846154
5125	-0.1325846154
5190	-0.1270923077
5255	-0.1219538462
5320	-0.1170923077
5385	-0.1125230769
5450	-0.1081692308
5515	-0.1040923077
5580	-0.1002153846
5645	-0.09655384615
5710	-0.09307692308
5775	-0.08976923077
5840	-0.08664615385
5905	-0.08367692308
5970	-0.08084615385
6035	-0.07815384615
6100	-0.0756
6165	-0.07315384615
6230	-0.07083076923
6295	-0.06863076923
6360	-0.06649230769
6425	-0.06449230769
6490	-0.06255384615
6555	-0.06070769231
6620	-0.05895384615
6685	-0.05726153846
6750	-0.05564615385
6815	-0.05409230769
6880	-0.05261538462
6945	-0.0512
7010	-0.04983076923
7075	-0.04853846154
7140	-0.04726153846
7205	-0.04607692308
7270	-0.04490769231
7335	-0.0438
7400	-0.04272307692
7465	-0.04170769231
7530	-0.04072307692
7595	-0.03975384615
7660	-0.03884615385
7725	-0.03796923077
7790	-0.03710769231
7855	-0.03630769231
7920	-0.03550769231
7985	-0.03475384615
8050	-0.03401538462
8115	-0.03330769231
8180	-0.03263076923
8245	-0.03196923077
8310	-0.03132307692
8375	-0.03072307692
8440	-0.03012307692
8505	-0.02955384615
8570	-0.029
8635	-0.02847692308
8700	-0.02793846154
8765	-0.02744615385
8830	-0.02696923077
8895	-0.02650769231
8960	-0.02604615385
9025	-0.02561538462
9090	-0.02518461538
9155	-0.02476923077
9220	-0.02438461538
9285	-0.024
9350	-0.02361538462
9415	-0.02326153846
9480	-0.02292307692
9545	-0.02256923077
9610	-0.02226153846
9675	-0.02192307692
9740	-0.02163076923
9805	-0.02132307692
9870	-0.02104615385
9935	-0.02075384615
10000	-0.02075384615
