WavelengthA	PBM8Y
3500	-0.5043492
3565	-0.4650394
3630	-0.4302204
3695	-0.3992063
3760	-0.3714421
3825	-0.3464741
3890	-0.3239280
3955	-0.3034923
4020	-0.2849055
4085	-0.2679470
4150	-0.2524288
4215	-0.2381904
4280	-0.2250933
4345	-0.2130181
4410	-0.2018606
4475	-0.1915300
4540	-0.1819469
4605	-0.1730410
4670	-0.1647505
4735	-0.1570205
4800	-0.1498021
4865	-0.1430518
4930	-0.1367307
4995	-0.1308037
5060	-0.1252394
5125	-0.1200095
5190	-0.1150883
5255	-0.1104526
5320	-0.1060814
5385	-0.1019555
5450	-0.0980575
5515	-0.0943714
5580	-0.0908826
5645	-0.0875779
5710	-0.0844451
5775	-0.0814727
5840	-0.0786506
5905	-0.0759692
5970	-0.0734197
6035	-0.0709940
6100	-0.0686845
6165	-0.0664843
6230	-0.0643871
6295	-0.0623867
6360	-0.0604776
6425	-0.0586546
6490	-0.0569131
6555	-0.0552483
6620	-0.0536562
6685	-0.0521328
6750	-0.0506746
6815	-0.0492780
6880	-0.0479399
6945	-0.0466572
7010	-0.0454272
7075	-0.0442473
7140	-0.0431148
7205	-0.0420276
7270	-0.0409834
7335	-0.0399801
7400	-0.0390159
7465	-0.0380888
7530	-0.0371972
7595	-0.0363395
7660	-0.0355140
7725	-0.0347193
7790	-0.0339541
7855	-0.0332171
7920	-0.0325070
7985	-0.0318227
8050	-0.0311630
8115	-0.0305269
8180	-0.0299135
8245	-0.0293217
8310	-0.0287507
8375	-0.0281996
8440	-0.0276677
8505	-0.0271542
8570	-0.0266582
8635	-0.0261792
8700	-0.0257165
8765	-0.0252694
8830	-0.0248373
8895	-0.0244198
8960	-0.0240161
9025	-0.0236259
9090	-0.0232485
9155	-0.0228836
9220	-0.0225307
9285	-0.0221893
9350	-0.0218591
9415	-0.0215396
9480	-0.0212304
9545	-0.0209313
9610	-0.0206418
9675	-0.0203616
9740	-0.0200904
9805	-0.0198279
9870	-0.0195739
9935	-0.0193279
10000	-0.0190898
